"TID","Comment","EN","JP","KR","FR","DE"
"TID_BUILDING_STONE_MINE",,"Stone Mine","鉱山","채석장","Mine de pierre","Steinbruch"
"TID_BUILDING_STONE_MINE_UNCONSTRUCTED",,"Stone Mine Ruins","崩れた鉱山","무너진 채석장","Mine de pierre en ruine","Steinbruchruine"
"TID_BUILDING_CLAY_PIT",,"Clay Pit","粘土採掘場","점토 채취장","Carrière d'argile","Lehmgrube"
"TID_BUILDING_CLAY_PIT_UNCONSTRUCTED",,"Clay Pit Ruins","崩れた粘土採掘場","무너진 점토 채취장","Carrière d'argile en ruine","Lehmgrubenruine"
"TID_BUILDING_TRADING_POST",,"Trading Post","取引所","거래소","Comptoir","Handelsposten"
"TID_BUILDING_CHICKEN_COOP",,"Chicken Coop","鶏小屋","닭장","Poulailler","Hühnerstall"
"TID_BUILDING_BRICK_YARD",,"Brickyard","レンガ工場","벽돌 공장","Briqueterie","Ziegelei"
"TID_BUILDING_VILLAGE_TRADER",,"Otto's Trading Booth","オットーの売店","오토의 유랑 상점","Comptoir d'Otto","Ottos Verkaufsstand"
"TID_BUILDING_FIGURINEWORKSHOP",,"Figurine Workshop","マスコット工房","피규어 공방","Atelier de figurines","Figurenatelier"
"TID_BUILDING_POTTERYWORKSHOP",,"Pottery Workshop","陶器工房","도자기 공방","Atelier de poterie","Töpferwerkstatt"
"TID_BUILDING_STATUEWORKSHOP",,"Statue Workshop","像工房","조각상 공방","Atelier de statues","Statuenwerkstatt"
"TID_BUILDING_JUICEPRESS",,"Juice Press","ジューサー","주스기","Presse à jus","Saftpresse"
"TID_BUILDING_WINDMILL",,"Windmill","風車","풍차","Moulin","Windmühle"
"TID_BUILDING_BEEHIVE",,"Beehive","ハチの巣箱","벌통","Ruche","Bienenstock"
"TID_BUILDING_APPLETREEGROVE",,"Apple Tree Grove","リンゴの木","사과나무","Verger éternel","Apfelhain"
"TID_BUILDING_MANAGED_FOREST",,"Evergrove","エバーグローブ","에버그로브 숲","Bois éternel","Immerhain"
"TID_BUILDING_MANAGED_FOREST_UNCONSTRUCTED",,"Dormant Evergrove","休眠中のエバーグローブ","잠자는 에버그로브 숲","Bois éternel dormant","Schlafender Immerhain"
"TID_BUILDING_SMELTER",,"Smelter","製錬所","용광로","Fonderie","Schmelzerei"
"TID_BUILDING_GEM_TREE",,"Gem Tree","クリスタルの木","보석 나무","Arbre à gemmes","Juwelenbaum"
"TID_SHOP_OFFER_GEM_TREE_TITLE",,"Gem Tree","クリスタルの木","보석 나무","Arbre à gemmes","Juwelenbaum"
"TID_BUILDING_AUTOPRODUCE_LIMITED_BATCHES",,"Days remaining <NUM_BATCHES>/<MAX_BATCHES>","残り日数：<NUM_BATCHES> / <MAX_BATCHES>","남은 일수: <NUM_BATCHES>/<MAX_BATCHES>","Jours restants <NUM_BATCHES>/<MAX_BATCHES>","Noch <NUM_BATCHES>/<MAX_BATCHES> Tagen"
"TID_BUILDING_AUTOPRODUCE_DEPLETED",,"All gems harvested,\nremove stump?","すべてのクリスタルを回収しました。\n木を取り除きますか？","모든 보석을 수확했습니다.\n나무를 제거할까요?","Toutes les gemmes ont été récupérées,\nenlever la souche ?","Alle Juwelen abgeholt.\nStumpf entfernen?"
"TID_DECO_CAROLINA_STATUE",,"Villager Statue","村人の像","마을 주민 동상","Statue de villageois","Dorfbewohnerstatue"
"TID_DECO_FLOWER_BLUEBELLS",,"Bluebells","ブルーベル","초롱꽃","Jacinthes","Hasenglöckchen"
"TID_DECO_DOG_HOUSE",,"Dog House","犬小屋","개집","Niche","Hundehütte"
"TID_DECO_FLOWER_SUNFLOWERS",,"Sunflowers","ヒマワリ","해바라기","Tournesols","Sonnenblumen"
"TID_DECO_FLOWER_TULIPS",,"Tulips","チューリップ","튤립","Tulipes","Tulpen"
"TID_DECO_MOONGATE",,"Moongate","ムーンゲート","원형문","Portail lunaire","Mondtor"
"TID_DECO_FIREPIT",,"Fire Pit","焚き火","화덕","Feu de camp","Feuerstelle"
"TID_DECO_GARDEN_POND",,"Garden Pond","庭の池","정원 연못","Étang","Gartenteich"
"TID_DECO_CAROLINA_STATUE_INFO",,"This inspiring statue celebrates hard-working villagers!","この像は働き者の村人に元気を与えてくれます！","열심히 일한 마을 주민을 기념하기 위해 세워진 동상입니다!","Cette statue rend honneur aux villageois qui travaillent dur.","Diese inspirierende Statue setzt hart arbeitenden Dorfbewohnern ein Denkmal!"
"TID_DECO_FLOWER_BLUEBELLS_INFO",,"Decorative, light blue flowers for your village. Pretty!","村を彩る青く美しい花。かわいいですね！","마을을 장식할 수 있는 밝은 파란색 꽃입니다. 아주 예쁘죠?","De jolies fleurs bleues pour votre village.","Dekorative hellblaue Blumen für dein Dorf. Wie schön!"
"TID_DECO_DOG_HOUSE_INFO",,"It's so comfy!\nDog included!","驚くほど快適！\nもれなく犬もついてきます。","아주 안락한 집이에요!\n개도 포함됩니다!","Tellement confortable...\nLivrée avec un chien.","Wie gemütlich!\nUnd sogar mit Hund!"
"TID_DECO_FLOWER_SUNFLOWERS_INFO",,"Decorative sunflowers for your village.","村に活気を与えるヒマワリ。","마을을 장식할 수 있는 해바라기입니다.","Des fleurs couleur soleil pour illuminer votre village.","Dekorative Sonnenblumen für dein Dorf."
"TID_DECO_FLOWER_TULIPS_INFO",,"Decorative tulips for your village. Cheerful!","村を明るく華やかにするチューリップ。","마을을 장식할 수 있는 튤립입니다. 생기가 넘치네요!","Une petite touche de couleur pour embellir votre village.","Dekorative Tulpen für dein Dorf. Hübsch!"
"TID_BUILDING_WAREHOUSE",,"Warehouse","倉庫","창고","Entrepôt","Lagerhaus"
"TID_BUILDING_FOUNTAIN",,"Nectar Fountain","ネクターの泉","넥타의 샘","Fontaine de nectar","Nektarquelle"
"TID_BUILDING_FOUNTAIN_UNCONSTRUCTED",,"Fountain Ruins","崩れた泉","무너진 샘","Fontaine en ruine","Quellenruine"
"TID_BUILDING_VILLAGE_KITCHEN_INFO",,"Where villagers bring fresh-picked pumpkins to make soup. You can also make soup from other food items, like berries and mushrooms.","村人が収穫したカボチャを使ってスープを作る場所。スープは、ベリーやキノコなど他の食糧からも作れます。","마을 주민들이 밭에서 갓 따온 호박으로 수프를 만드는 곳입니다. 베리류나 버섯 같은 다른 재료로도 수프를 만들 수 있습니다.","Les villageois amènent des citrouilles fraîches pour faire une bonne soupe. Vous pouvez aussi utiliser des baies et des champignons.","Hier bringen Dorfbewohner frisch geerntete Kürbisse hin, um Suppe zu kochen. Du kannst Suppe auch aus anderen Lebensmitteln herstellen, wie z. B. Beeren und Pilzen."
"TID_BUILDING_HOUSE_INFO",,"Every villager needs a home! Unlock more houses to invite additional villagers. Upgrade houses to unlock higher villager skill levels at the Valley Guilds.","村人には家が必要です！新しく追加する前に家をアンロックしましょう。エバーバレーのギルドで村人のスキルレベルを上げるには、家をアップグレードしてください。","모든 마을 주민에게는 집이 필요합니다! 더 많은 집을 잠금 해제해 마을 주민이 와서 살게 하세요. 집을 업그레이드해서 에버밸리 길드에서 더 높은 마을 주민 기술 레벨을 잠금 해제하세요.","Tout villageois a besoin d'un chez soi. Débloquez d'autres maisons pour inviter plus de villageois. Améliorez-les pour débloquer des compétences de meilleur niveau dans les guildes de la vallée.","Jeder Dorfbewohner braucht ein Zuhause! Schalte mehr Häuser frei, um zusätzliche Dorfbewohner einzuladen. Verbessere Häuser, um in der Talgilde höhere Fähigkeitsstufen freizuschalten."
"TID_BUILDING_FIELD_PUMPKIN_INFO",,"Gather pumpkins to make soup at the Village Kitchen. Villagers can always harvest pumpkins, even when hungry.","カボチャを収穫して、村のキッチンでスープを作りましょう。村人は腹ペコでも収穫作業を行えます。","호박을 모아 마을 주방에서 수프를 만드세요. 마을 주민들은 항상 호박을 수확할 수 있습니다. 배가 너무 고플 때도요!","Récoltez des citrouilles pour faire de la soupe dans la cuisine du village. Les villageois peuvent récolter des citrouilles même lorsqu'ils ont faim.","Ernte Kürbisse, um in der Dorfküche Suppe zu kochen. Dorfbewohner können immer Kürbisse ernten, sogar wenn sie hungrig sind."
"TID_BUILDING_TREASURY_INFO",,"Stores coins. So shiny!","コインを保管する場所。キンピカです！","반짝이는 코인을 보관합니다!","Pour entreposer les pièces. Ouuuh, ça brille !","Lagert Münzen. Wie glänzend!"
"TID_BUILDING_WAREHOUSE_INFO",,"Storage space for potion ingredients, raw materials and crafted items.","ポーションの材料、素材、生産したアイテムを保管する場所。","물약 재료, 원재료, 제작 아이템을 보관합니다.","Réserve pour entreposer les ingrédients de potion, les matières premières et les objets artisanaux.","Lagerplatz für Trankzutaten, Rohmaterialen und hergestellte Gegenstände."
"TID_MARKETPLACE_VILLAGE_STOCK",,,,,,
"TID_BUILDING_LIBRARY_INFO",,"Advance your village by researching at the Study! You can level up your Study as high as your village XP level.","研究所で開発を行い、村を発展させましょう！研究所は、村と同じレベルまでアップグレードすることができます。","연구소에서 연구하여 마을을 발전시키세요! 연구 레벨은 마을 XP 레벨만큼 올릴 수 있습니다.","Améliorez votre village en effectuant des recherches dans la bibliothèque. Vous pouvez améliorer la bibliothèque à un niveau aussi élevé que celui de votre village.","Erweitere dein Dorf, indem du neue Dinge im Arbeitszimmer erforschst! Du kannst dein Arbeitszimmer genauso hoch leveln wie den Erfahrungslevel deines Dorfes."
"TID_BUILDING_WOOD_STORAGE_INFO",,"Stores wood. No termites allowed.","木材を保管する場所。シロアリ対策もバッチリです。","목재를 보관합니다. 흰개미 한 마리도 들어올 수 없습니다.","Pour entreposer du bois. Strictement interdit aux termites.","Lagert Holz. Kein Zutritt für Termiten!"
"TID_BUILDING_STONE_STORAGE_INFO",,"Stores stone. One hard place.","石材を保管する場所。叩いても簡単には割れません。","석재를 보관합니다. 아주 튼튼한 곳입니다.","Pour entreposer de la pierre. Pas très confortable pour faire la sieste.","Lagert Stein. Harte Tatsachen!"
"TID_BUILDING_CLAY_STORAGE_INFO",,"Stores clay. It's valuable mud!","粘土を保管する場所。貴重などろんこです。","점토를 보관합니다. 점토는 귀중한 자원입니다!","Pour entreposer de l'argile. C'est comme de la boue, mais en mieux !","Lagert Lehm. Bodenständig!"
"TID_BUILDING_MANAGED_FOREST_INFO",,"The Evergrove produces infinite wood.","エバーグローブは無限に木材を生産します。","에버그로브 숲은 목재를 무한히 생산합니다.","Le bois éternel produit du bois à l'infini.","Der Immerhain produziert unbegrenzt Holz."
"TID_BUILDING_MANAGED_FOREST_INFO_UNCONSTRUCTED",,"Unlock the Evergrove in the Study!\nImbued with Everdalian magic, the Evergrove never runs out of wood.","研究所でエバーグローブをアンロック！\nエバーデール界の魔法をまとったこの森では、樹木が無限に生えてきます。","연구소에서 에버그로브 숲을 잠금 해제하세요!\n에버데일의 마법이 깃든 에버그로브 숲에서는 언제나 나무들이 자랍니다.","À débloquer dans la bibliothèque.\nBaigné de magie mystérieuse, le bois éternel ne s'épuise jamais.","Schalte den Immerhain im Arbeitszimmer frei!\nEr ist von der Magie von Everdale durchdrungen, deshalb geht ihm niemals das Holz aus."
"TID_BUILDING_STONE_MINE_INFO",,"The Stone Mine produces infinite stone.","鉱山は無限に石材を生産します。","채석장은 석재를 무한히 생산합니다.","La mine de pierre produit de la pierre sans jamais s'épuiser.","Der Steinbruch produziert unbegrenzt Steine."
"TID_BUILDING_STONE_MINE_INFO_UNCONSTRUCTED",,"Unlock the Stone Mine in the Study!\nYou'll never run out of stone at the Stone Mine!","研究所で鉱山をアンロック！\n鉱山からは無限に石材が手に入ります。","연구소에서 채석장을 잠금 해제하세요.\n채석장은 끊임없이 석재를 생산합니다!","À débloquer dans la bibliothèque.\nLa mine de pierre est une source inépuisable de pierre.","Schalte den Steinbruch im Arbeitszimmer frei!\nDort gehen dir nie die Steine aus."
"TID_BUILDING_CLAY_PIT_INFO",,"The Clay Pit produces infinite clay.","粘土採掘場は無限に粘土を生産します。","점토 채취장은 점토를 무한히 생산합니다.","La carrière d'argile est une réserve inépuisable d'argile.","Die Lehmgrube produziert unbegrenzt Lehm."
"TID_BUILDING_CLAY_PIT_INFO_UNCONSTRUCTED",,"Unlock the Clay Pit in the Study.\nYou'll never run out of clay at the Clay Pit!","研究所で粘土採掘場をアンロック！\n粘土採掘場からは無限に粘土が手に入ります。","연구소에서 점토 채취장을 잠금 해제하세요.\n채취장은 끊임없이 점토를 생산합니다!","À débloquer dans la bibliothèque.\nLa carrière d'argile permet d'obtenir autant d'argile que vous voulez.","Schalte die Lehmgrube im Arbeitszimmer frei.\nDort geht dir nie der Lehm aus."
"TID_BUILDING_APPLETREEGROVE_INFO",,"Gather crisp, juicy apples at the Apple Grove!","リンゴの木からは、甘くてジューシーなリンゴを収穫できます！","사과나무에서 아삭하고 맛있는 사과를 수확하세요!","Des pommes craquantes et juteuses comme nulle part ailleurs !","Pflücke knackige und saftige Äpfel im Apfelhain!"
"TID_BUILDING_TRADING_POST_INFO",,"The <BUILDING> sends resources to Valley construction projects.","<BUILDING>は、エバーバレーの建設プロジェクトに必要な資源を出荷します。","<BUILDING>: 에버밸리 건설 프로젝트에 필요한 자원을 보냅니다.","<BUILDING> : envoie des ressources aux projets en construction dans la vallée.","<BUILDING> schickt Ressourcen zu Bauprojekten im Tal."
"TID_BUILDING_SAWMILL_INFO",,"Assign a villager to produce planks from wood. Also stores planks.","木材から厚板を切り出して保管する作業に、村人を割り当てましょう。","마을 주민을 배정해서 목재로 나무 판자를 만들고 보관하세요.","Assignez un villageois pour fabriquer des planches avec du bois. Réserve de planches.","Weise einen Dorfbewohner zu, um aus dem Holz Bretter herzustellen und diese einzulagern."
"TID_BUILDING_BRICK_YARD_INFO",,"Assign a villager to produce bricks from clay. Also stores bricks.","粘土からレンガを製造して保管する作業に、村人を割り当てましょう。","마을 주민을 배정해서 점토로 벽돌을 만들고 보관하세요.","Assignez un villageois pour fabriquer des briques avec de l'argile. Réserve de briques.","Weise einen Dorfbewohner zu, um aus dem Lehm Ziegelsteine herzustellen und diese einzulagern."
"TID_BUILDING_SMELTER_INFO",,"Assign a villager to produce iron ingots from iron ore. Also stores iron ingots. ","鉄鉱石から鉄の延べ棒を生成して保管する作業に、村人を割り当てましょう。","마을 주민을 배정해서 철광석으로 철괴를 만드세요.","Assignez un villageois pour fabriquer des lingots avec du minerai.","Weise einen Dorfbewohner zu, um aus dem Eisenerz Eisenbarren herzustellen und diese einzulagern."
"TID_BUILDING_GEM_TREE_INFO",,"The Gem Tree sprouts 20 gems per day for a total of 600 Gems.\nCollect them every day before they disappear!","クリスタルの木からは、1日あたり20個、合計600個のクリスタルが生成されます。\n消滅してなくなる前に、毎日忘れず回収しましょう！","보석 나무에는 하루에 20개의 보석이 열리며, 최대 600개의 보석을 생성합니다.\n사라지기 전에 매일 수확하세요!","L'arbre à gemmes produit 20 gemmes par jour, pour un total de 600 gemmes.\nRécupérez-en chaque jour avant qu'elles ne disparaissent !","Am Juwelenbaum wachsen täglich 20 Juwelen bis zu einem Maximum von 600 Juwelen.\nSammle sie jeden Tag ein, bevor sie verschwinden!"
"TID_WAREHOUSE_TITLE",,"Warehouse","倉庫","창고","Entrepôt","Lagerhaus"
"TID_GRANARY_TITLE",,"Pantry","食品庫","팬트리","Garde-manger","Vorratskammer"
"TID_BUILDING_FIGURINEWORKSHOP_INFO",,"Produces wooden figurines. \nStored at the Warehouse.","木のマスコットを生産します。完成したマスコットは倉庫に保管されます。","원목 피규어를 생산합니다. 창고에 보관됩니다.","Pour fabriquer des figurines en bois. Elles sont conservées dans l'entrepôt.","Stellt Holzfiguren her. Diese werden im Lagerhaus gelagert."
"TID_BUILDING_POTTERYWORKSHOP_INFO",,"Produces clay pottery.\nStored at the Warehouse.","陶器を生産します。\n完成した陶器は倉庫に保管されます。","점토 도자기를 생산합니다.\n창고에 보관됩니다.","Pour fabriquer des poteries.\nElles sont conservées dans l'entrepôt.","Stellt Töpferwaren her.\nDiese werden im Lagerhaus gelagert."
"TID_BUILDING_STATUEWORKSHOP_INFO",,"Produces stone statues.\nStored at the Warehouse.","石像を生産します。\n完成した石像は倉庫に保管されます。","석상을 생산합니다.\n창고에 보관됩니다.","Pour fabriquer des statues de pierre.\nElles sont conservées dans l'entrepôt.","Stellt Steinstatuen her.\nDiese werden im Lagerhaus gelagert."
"TID_BUILDING_JUICEPRESS_INFO",,"Produces refreshing apple juice.","すっきり爽やかなリンゴジュースを生産します。","신선한 사과 주스를 생산합니다.","Pour presser du jus de pomme frais.","Stellt erfrischenden Apfelsaft her."
"TID_BUILDING_WINDMILL_INFO",,"Produces flour from wheat.\nFlour is stored in the Village Kitchen.","小麦から小麦粉を生産します。\n完成した小麦粉は村のキッチンに保管されます。","밀을 빻아서 밀가루를 생산합니다.\n완성된 밀가루는 마을 주방에 보관됩니다.","Pour moudre du blé en farine.\nLa farine est conservée dans la cuisine du village.","Stellt Mehl aus Weizen her.\nMehl wird in der Dorfküche gelagert."
"TID_BUILDING_FOUNTAIN_INFO",,"The Nectar Fountain produces Nectar, which you can use to Boost your villagers' working speed! Tap to gather Nectar drops when they appear.","ネクターの泉は、村人の作業スピードをブーストするネクターを生産します。泉の上に雫が現れたら、タップして回収しましょう。","넥타의 샘은 마을 주민들의 작업 속도를 높이는 넥타를 생산합니다. 샘 위에 넥타 방울이 나타나면 탭해서 수집하세요.","La fontaine de nectar produit du nectar, qui permet de booster la vitesse de travail des villageois. Appuyez sur les gouttes de nectar lorsqu'elles apparaissent.","Die Nektarquelle produziert Nektar, mit dem du dann das Arbeitstempo deiner Dorfbewohner boosten kannst! Tippe, um die Nektartropfen einzusammeln, wenn sie erscheinen."
"TID_BUILDING_FOUNTAIN_INFO_UNCONSTRUCTED",,"Locals say the Nectar Fountain produces a powerful drink...\nResearch Nectar Boost in the Study to find out what it does!","住民たちによると、ネクターの泉は強力な飲み物を生み出すそうな...\n研究所でネクターブーストを開発して、その正体を突き止めましょう！","마을 주민들에 따르면 넥타의 샘에서 강력한 음료를 생산한다고 합니다.\n연구소에서 넥타 부스터를 연구해서 자세히 알아보세요!","On raconte que la fontaine de nectar produit une boisson magique...\nRecherchez le boost de nectar dans la bibliothèque pour découvrir ses effets.","Die Einheimischen erzählen, dass aus der Nektarquelle ein kraftvolles Getränk fließt ...\nErforsche den Nektarboost im Arbeitszimmer, um seine Fähigkeiten herauszufinden."
"TID_BUILDING_CHICKEN_COOP_INFO",,"Produces eggs.\nTap to gather eggs when they appear.","卵を生産します。\n小屋の上に現れたら、タップして回収しましょう。","달걀을 생산합니다.\n달걀이 표시되면 탭해서 모으세요.","Pour produire des œufs.\nAppuyez sur les œufs lorsqu'ils apparaissent.","Produziert Eier.\nTippe, um die Eier einzusammeln, wenn sie erscheinen."
"TID_BUILDING_BEEHIVE_INFO",,"Produces sweet, sweet honey.\nTap to gather honey when it appears.","甘ーいハチミツを生産します。\n巣箱の上に現れたら、タップして回収しましょう。","달콤한 꿀을 생산합니다.\n꿀이 표시되면 탭해서 모으세요.","Pour produire du miel.\nAppuyez sur le miel lorsqu'il apparaît.","Produziert zuckersüßen Honig.\nTippe, um den Honig einzusammeln, wenn er erscheint."
"TID_UPGRADE_COST",,"Upgrade cost:","アップグレードコスト：","업그레이드 비용:","Coût d'amélioration :","Verbesserungskosten:"
"TID_ELDER_ACTION",,"Start Construction","建設を開始","건설 시작","Lancer la construction","Bauprozess beginnen"
"TID_AMOUNT_FORMAT",,"x<AMOUNT>","x<AMOUNT>","x<AMOUNT>","x<AMOUNT>","x<AMOUNT>"
"TID_TIME_DAYS",,"d","日","일"," j","d"
"TID_TIME_HOURS",,"h","時間","시간"," h","h"
"TID_TIME_MINS",,"m","分","분"," m","m"
"TID_TIME_SECS",,"s","秒","초"," s","s"
"TID_PROFESSION_LEVEL_1",,"Apprentice <prof>","見習い<prof>","수습생 <prof>","Apprenti <prof>","Lehrling"
"TID_PROFESSION_LEVEL_2",,"Journeyman <prof>","職人<prof>","장인 <prof>","Ouvrier <prof>","Geselle"
"TID_PROFESSION_LEVEL_3",,"Expert <prof>","専門家<prof>","전문가 <prof>","Expert <prof>","Experte"
"TID_PROFESSION_LEVEL_4",,"Master <prof>","達人<prof>","마스터 <prof>","Maître <prof>","Meister"
"TID_PROFESSION_LEVEL_5",,"Grand Master <prof>","師範<prof>","그랜드 마스터 <prof>","Grand maître <prof>","Großmeister"
"TID_LIBRARY_NEEDED",,"Study level <LEVEL> needed.","レベル<LEVEL>の研究所が必要です。","연구소 <LEVEL>레벨 필요","Niveau <LEVEL> de recherche nécessaire.","Arbeitszimmer auf Level <LEVEL> benötigt."
"TID_FINISH_CURRENT_RESEARCH_FIRST",,"The Study is already researching something.","研究所はすでに他のものを開発中です。","연구소에서 이미 연구 중입니다.","Une recherche est déjà en cours dans la bibliothèque.","Im Arbeitszimmer wird bereits etwas erforscht."
"TID_TECH_RESEARCH_COMPLETED",,"<TECH_NAME> level <LEVEL> research completed!","レベル<LEVEL>の<TECH_NAME>を開発しました！","<TECH_NAME> <LEVEL>레벨 연구 완료!","<TECH_NAME> de niveau <LEVEL> : recherche terminée !","Erforschen von <TECH_NAME> (Level <LEVEL>) abgeschlossen!"
"TID_RESEARCH_COMPLETE_TITLE",,"RESEARCH COMPLETED","開発完了","연구 완료","Recherche terminée","FORSCHUNG ABGESCHLOSSEN"
"TID_JOB_ASSIGNED",,"Going to work","作業に向かっています","작업 시작","En route pour travailler","Geht an die Arbeit"
"TID_JOB_WALK_TO_INPUT",,"Fetching <input>","<input>を採りに向かっています","<input> 채취 중","Cherche : <input>","Holt <input>"
"TID_JOB_QUEUED_FOR_INPUT",,"Waiting for <input>","<input>を待っています","<input> 기다리는 중","Attend : <input>","Wartet auf <input>"
"TID_JOB_WALK_FROM_INPUT",,"Returning with <input>","<input>を持ち帰っています","<input> 가지고 돌아가는 중","Rapporte : <input>","Kehrt mit <input> zurück"
"TID_JOB_PRODUCING",,"Producing <output>","<output>を生産しています","<output> 생산 중","Produit : <output>","Produziert <output>"
"TID_JOB_WALK_TO_HARVEST",,"Finding <output> to harvest","<output>の収穫に向かっています","수확할 <output> 찾는 중","Cherche à récolter : <output>","Sucht <output> zum Ernten"
"TID_JOB_HARVESTING",,"Harvesting <output>","<output>を収穫しています","<output> 수확 중","Récolte : <output>","Erntet <output>"
"TID_JOB_WALK_FROM_HARVEST",,"Returning with <output>","<output>を持ち帰っています","<output> 가지고 돌아가는 중","Rapporte : <output>","Kehrt mit <output> zurück"
"TID_JOB_DELIVER_TO_STORAGE",,"Delivering <output> to storage","<output>を保管場所に運んでいます","창고로 <output> 배달 중","Place dans la réserve : <output>","Bringt <output> ins Lager"
"TID_JOB_QUEUED_FOR_OUTPUT",,"Waiting for storage space","保管場所が空くのを待っています","창고 여유 공간을 기다리는 중","En attente d'espace dans la réserve","Wartet auf Lagerplatz"
"TID_JOB_LOITERING",,"Loitering","ウロウロしています","서성거리는 중","Sans occupation","Steht herum"
"TID_JOB_SPAWNING",,"Growing <output>","<output>を育てています","<output> 키우는 중","Fait pousser : <output>","Produziert <output>"
"TID_JOB_WAIT_FOR_STORAGE",,"<storage> full","<storage>がいっぱいです","<storage> 가득 참","<storage> plein","<storage> voll"
"TID_JOB_MISSING_STORAGE",,"<storage> required","<storage>が必要です","<storage> 필요","<storage> requis","<storage> benötigt"
"TID_JOB_WORKER_HUNGRY",,"Too hungry to work","お腹が空いて作業ができません","배고파서 일할 수 없음","Ce villageois a trop faim pour travailler","Zu hungrig zum Arbeiten"
"TID_JOB_PLANTING",,"Planting <output>","<output>を植えています","<output> 심는 중","Plante : <output>","Pflanzt <output>"
"TID_JOB_WATERING",,"Watering <output>","<output>に水をあげています","<output> 물 주는 중","Arrose : <output>","Gießt <output>"
"TID_JOB_RESEARHING",,"Researching <output>","<output>を開発しています","<output> 연구 중","Recherche : <output>","Erforscht <output>"
"TID_JOB_ADVENTURE_PREP",,"Preparing for adventure","旅に出る準備をしています","모험을 준비 중","Se prépare pour une aventure","Bereitet sich auf Abenteuer vor"
"TID_JOB_ADVENTURING",,"Adventuring","旅に出ています","모험 중","À l'aventure","Wandert herum"
"TID_JOB_CONSTRUCTING",,"Constructing","建設しています","건설 중","En train de construire","Im Bauprozess"
"TID_JOB_NOTHING_TO_HARVEST",,"Nothing to harvest","収穫するものがありません","수확할 작물 없음","Rien à récolter","Nichts zum Ernten"
"TID_JOB_WAIT_FOR_INPUT",,"Waiting for <input>","<input>を待っています","<input> 기다리는 중","Attend : <input>","Wartet auf <input>"
"TID_JOB_WAIT_FOR_INPUT_2",,"Waiting for <input> or <input2>","<input>または<input2>を待っています","<input> 또는 <input2> 기다리는 중","Attend : <input> ou <input2>","Wartet auf <input> oder <input2>"
"TID_JOB_NOWHERE_FOR_INPUT",,"Produce more <input> to continue","作業を続けるには<input>を生産してください","계속하려면 <input> 더 생산","Pour continuer, vous avez besoin de : <input>.","Stelle mehr <input> her, um fortzufahren"
"TID_JOB_NOWHERE_FOR_INPUT_2",,"Produce more <input> or <input2> to continue","作業を続けるには<input>または<input2>を生産してください","계속하려면 <input> 또는 <input2> 더 생산","Pour continuer, vous avez besoin de : <input> ou <input2>.","Stelle mehr <input> oder <input2> her, um fortzufahren"
"TID_JOB_STUDYING",,"Studying","開発しています","연구 중","À la bibliothèque","Forscht ..."
"TID_STATUS_IDLE",,"Idle","仕事を待っています","한가함","Sans occupation","Untätig"
