"Name","NationBuilding","BuildingLevel","TargetResource","TargetAmount","TID","SWF","ExportName","BgExportName","DurationSeconds","InputResource1","InputAmount1","InputResource2","InputAmount2","InputResource3","InputAmount3","InputResource4","InputAmount4"
"RecipeDyePurple","NationDyeShop",1,"DyePurple",1,"TID_RECIPE_DYEPURPLE","sc/ui.sc","icon_dye_shop_purple","icon_recipe_bg",1800,"DyeRed",1,"DyeBlue",1,,,,
"RecipeDyeRainbow","NationDyeShop",1,"DyeRainbow",1,"TID_RECIPE_DYERAINBOW","sc/ui.sc","icon_dye_shop_rainbow","icon_recipe_bg",2400,"DyeRed",1,"DyeYellow",1,"DyeBlue",1,"FountainBoost",1
"RecipePlushie","NationToyWorkshop",1,"Plushie",1,"TID_RECIPE_PLUSHIE","sc/ui.sc","icon_toy_shop_plushie","icon_recipe_bg",2400,"Cotton",1,"Wool",2,"DyeBlue",1,"DyeYellow",1
"RecipeRuneGame","NationToyWorkshop",1,"RuneGame",1,"TID_RECIPE_RUNEGAME","sc/ui.sc","icon_toy_shop_runegame","icon_recipe_bg",4500,"Stone",3,"DyeYellow",1,"DyeRed",1,"DyeBlue",1
"RecipeWoodenDuck","NationToyWorkshop",1,"WoodenDuck",1,"TID_RECIPE_WOODENDUCK","sc/ui.sc","icon_toy_shop_wooden_duck","icon_recipe_bg",3000,"Plank",3,"DyeRed",1,"DyeGreen",1,,
"RecipeMarbles","NationToyWorkshop",1,"Marbles",1,"TID_RECIPE_MARBLES","sc/ui.sc","icon_toy_shop_clay_marbles","icon_recipe_bg",2400,"Clay",3,"DyeRainbow",1,,,,
"RecipeWoodenDoll","NationToyWorkshop",1,"WoodenDoll",1,"TID_RECIPE_WOODENDOLL","sc/ui.sc","icon_toy_shop_wooden_doll","icon_recipe_bg",3600,"Figurine",1,"Cotton",1,"DyeOrange",1,"DyePurple",1
"RecipeSocks","NationTailor",1,"Socks",1,"TID_RECIPE_SOCKS","sc/ui.sc","icon_tailor_socks","icon_recipe_bg",2400,"Wool",3,,,,,,
"RecipeTrousers","NationTailor",1,"Trousers",1,"TID_RECIPE_TROUSERS","sc/ui.sc","icon_tailor_woolen_trousers","icon_recipe_bg",3600,"Cotton",3,,,,,,
"RecipeHat","NationTailor",1,"Hat",1,"TID_RECIPE_HAT","sc/ui.sc","icon_tailor_hat","icon_recipe_bg",3000,"Wool",2,"DyeRed",1,,,,
"RecipeTunic","NationTailor",1,"Tunic",1,"TID_RECIPE_TUNIC","sc/ui.sc","icon_tailor_woolen_shirt","icon_recipe_bg",1800,"Wool",2,"Cotton",4,,,,
"RecipeShirt","NationTailor",1,"Shirt",1,"TID_RECIPE_SHIRT","sc/ui.sc","icon_tailor_green_shirt","icon_recipe_bg",3600,"Wool",3,"DyeGreen",1,,,,
"RecipeDress","NationTailor",1,"Dress",1,"TID_RECIPE_DRESS","sc/ui.sc","icon_tailor_purple_dress","icon_recipe_bg",4200,"Cotton",3,"DyePurple",1,,,,
"RecipeJacket","NationTailor",1,"Jacket",1,"TID_RECIPE_JACKET","sc/ui.sc","icon_tailor_jacket","icon_recipe_bg",4800,"Cotton",4,"Wool",2,"DyeBlue",1,,
"RecipeRainbowSuit","NationTailor",1,"RainbowSuit",1,"TID_RECIPE_WEDDING_DRESS","sc/ui.sc","icon_tailor_rainbow_suit","icon_recipe_bg",7200,"Cotton",3,"Wool",3,"DyeRainbow",1,,
"RecipeNails","NationBlacksmith",1,"Nails",1,"TID_RECIPE_NAILS","sc/ui.sc","icon_blacksmith_iron_nails","icon_recipe_bg",600,"IronBar",3,,,,,,
"RecipeReinforcedPlank","NationBlacksmith",1,"ReinforcedPlank",1,"TID_RECIPE_REINFORCEDPLANK","sc/ui.sc","icon_blacksmith_reinforced_plank","icon_recipe_bg",900,"IronBar",3,"Plank",1,,,,
"RecipeIronSculpture","NationBlacksmith",1,"IronSculpture",1,"TID_RECIPE_IRONSCULPTURE","sc/ui.sc","icon_blacksmith_iron_sculpture","icon_recipe_bg",2700,"IronBar",6,,,,,,
"RecipePickledEggs","NationCannery",1,"PickledEggs",1,"TID_RECIPE_PICKLEDEGGS","sc/ui.sc","icon_pottery_pickled_eggs","icon_recipe_bg",1800,"Pottery",1,"Egg",6,,,,
"RecipeCream","NationDairy",1,"Cream",1,"TID_RECIPE_CREAM","sc/ui.sc","icon_dairy_cream","icon_recipe_bg",600,"Milk",1,,,,,,
"RecipeButter","NationDairy",1,"Butter",1,"TID_RECIPE_BUTTER","sc/ui.sc","icon_dairy_butter","icon_recipe_bg",1200,"Milk",2,,,,,,
"RecipeCheese","NationDairy",1,"Cheese",1,"TID_RECIPE_CHEESE","sc/ui.sc","icon_dairy_cheese","icon_recipe_bg",1800,"Milk",3,,,,,,
"RecipeChocolateMousse","NationBakery",1,"ChocolateMousse",1,"TID_RECIPE_CHOCOLATEMOUSSE","sc/ui.sc","icon_bakery_chocolate_mousse","icon_recipe_bg",1500,"Cream",1,"Chocolate",9,,,,
"RecipeMudcake","NationBakery",1,"Mudcake",1,"TID_RECIPE_MUDCAKE","sc/ui.sc","icon_bakery_lava_cake","icon_recipe_bg",2400,"Flour",1,"Egg",1,"Chocolate",9,"Sugar",1
"RecipeGrilledCheese","NationBakery",1,"GrilledCheese",1,"TID_RECIPE_GRILLEDCHEESE","sc/ui.sc","icon_bakery_grilled_cheese_sandwich","icon_recipe_bg",1200,"Bread",1,"Cheese",1,"Butter",1,,
"RecipeJellyBeans","NationCandyMaker",1,"JellyBeans",1,"TID_RECIPE_JELLYBEANS","sc/ui.sc","icon_candy_maker_jelly_beans","icon_recipe_bg",1500,"Sugar",1,"Honey",1,"Apple",1,,
"RecipeCottonCandy","NationCandyMaker",1,"CottonCandy",1,"TID_RECIPE_COTTONCANDY","sc/ui.sc","icon_candy_maker_cotton_candy","icon_recipe_bg",1800,"Cotton",1,"Indigo",1,"Sugar",1,,
"RecipeRaspberryBar","NationCandyMaker",1,"RaspberryBar",1,"TID_RECIPE_RASPBERRYBAR","sc/ui.sc","icon_candy_maker_raspberry_bar","icon_recipe_bg",1800,"Berry",1,"Chocolate",6,"Sugar",1,,
"RecipeChocolateHerring","NationCandyMaker",1,"ChocolateHerring",1,"TID_RECIPE_CHOCOLATEHERRING","sc/ui.sc","icon_candy_maker_chocolate_herring","icon_recipe_bg",1200,"Fish",1,"Chocolate",6,"Salt",1,,
"RecipeChocolatePralines","NationCandyMaker",1,"ChocolatePralines",1,"TID_RECIPE_CHOCOLATEPRALINES","sc/ui.sc","icon_candy_maker_milk_chocolate_pralines","icon_recipe_bg",1800,"Milk",1,"Chocolate",6,"Sugar",1,,
"RecipeFudge","NationCandyMaker",1,"Fudge",1,"TID_RECIPE_FUDGE","sc/ui.sc","icon_candy_maker_fudge","icon_recipe_bg",1800,"Cream",1,"Sugar",1,"Salt",1,,
"RecipePreservedCheese","NationCannery",1,"PreservedCheese",1,"TID_RECIPE_PRESERVEDCHEESE","sc/ui.sc","icon_pottery_marinated_cheese","icon_recipe_bg",2700,"Pottery",1,"Cheese",3,"Salt",2,"Apple",1
"RecipeYoghurt","NationCannery",1,"Yoghurt",1,"TID_RECIPE_YOGHURT","sc/ui.sc","icon_pottery_yoghurt","icon_recipe_bg",1800,"Pottery",1,"Milk",3,"Cream",2,"Sugar",1
"RecipeSilkScarf","NationTailor",1,"SilkScarf",1,"TID_RECIPE_SILKSCARF","sc/ui.sc","icon_tailor_silk_scarf","icon_recipe_bg",1800,"SilkCloth",6,,,,,,
"RecipeSilkTie","NationTailor",1,"SilkTie",1,"TID_RECIPE_SILKTIE","sc/ui.sc","icon_tailor_tie","icon_recipe_bg",2100,"SilkCloth",4,"DyeBlue",1,,,,
"RecipeFancyDoll","NationToyWorkshop",1,"FancyDoll",1,"TID_RECIPE_FANCYDOLL","sc/ui.sc","icon_toy_shop_fancy_doll","icon_recipe_bg",5400,"Figurine",1,"SilkCloth",6,"DyeBlue",1,,
"RecipeIronToy","NationToyWorkshop",1,"IronToy",1,"TID_RECIPE_IRONTOY","sc/ui.sc","icon_toy_shop_metal_toy","icon_recipe_bg",3600,"IronOre",6,,,,,,
