"Name","TID","NPC","Cart","Scale","CollisionShape","SpawnToBuilding","SpawnToObstacle","SpawnToNation","MaxCompletions","CooldownSeconds","MinNationLevel","MaxNationLevel","BuildingNeeded","BuildingLevelNeeded","TechNeeded","OtherChallengeNeeded","OtherChallengeStagesCompleteNeeded","Stage","AvailableTID","AvailableSCW","AvailableIconSWF","AvailableIconExportName","AvailableSeconds","AvailableBGExportName","ActiveTID","ActiveSCW","ActiveIconSWF","ActiveIconExportName","ActiveSeconds","ActiveBGExportName","TaskCount","CoinTaskMinPercentage","CoinTaskMaxPercentage","RequiredAmountPercentage","CoinRewardSizePercentage","KnowledgeRewardSizePercentage","ReputationRewardSizePercentage","ResourceOrTag1","ResourceOrTag2","ResourceOrTag3","WorkerJobSeconds","WorkerJobTID","WorkerJobBGExportName","WorkerJobProfession","WorkerJobRewardData1","WorkerJobRewardAmount1","WorkerJobRewardData2","WorkerJobRewardAmount2","WorkerJobRewardReputation","WorkerJobRewardNationKnowledge","WinTID","WinSCW","WinIconSWF","WinIconExportName","WinBGExportName","LoseTID","LoseSCW","LoseIconSWF","LoseIconExportName","LoseBGExportName","ReviewSeconds","RewardPerk","RewardPerkSeconds","RewardNationKnowledge","RewardTradePartner","PreventTaskGemming","NoTaskFiltering","EvenTaskRequirementDistribution","FixedVillageLevelForTasks","Pool","OnCompletionStartChallenges","RewardIcons","RewardIconTooltips"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE002_SHIPWRECK_STAGE2_JOB_06","bg_image_village_resource_wood","Lumberjack","Coins",252,,,19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,,,,,,,"TID_CHALLENGE002_SHIPWRECK_STAGE3","prefab/valley_event_shipwreck.pfb#stage3",,,86400,"bg_image_valley_event_shipwreck_1",18,100,100,80,100,100,100,"FoodCrafted","ClothesCrafted","CraftsCrafted",,,,,,,,,,,,,,,,"TID_CHALLENGE002_SHIPWRECK_LOSE_STAGE3","prefab/valley_event_shipwreck.pfb#stage1","sc/ui.sc","sticker_harbormaster_thankyou","bg_image_valley_event_shipwreck_failed",,,,,,,,,,,,,
"Challenge003_SheepEscape","TID_CHALLENGE003_SHEEPESCAPE_TITLE","Shepherd","ChallengeCart",100,"Academy",,,"ChallengeSiteSheepPasture",,1209600,2,,,,,,,1,"TID_CHALLENGE003_SHEEPESCAPE_INTRO","prefab/valley_event_sheep_escape.pfb#stage1","sc/ui.sc","sticker_shepherd_wave",86400,"bg_image_valley_event_lost_sheep_3","TID_CHALLENGE003_SHEEPESCAPE_STAGE1","prefab/valley_event_sheep_escape.pfb#stage1","sc/ui.sc","sticker_shepherd_working",86400,"bg_image_valley_event_lost_sheep_3",18,100,100,80,100,100,100,"ConstructionBasic","Clay","Plank",,,,,,,,,,,"TID_CHALLENGE003_SHEEPESCAPE_WIN","prefab/valley_event_sheep_escape.pfb#stage4","sc/ui.sc","sticker_shepherd_celebrate","bg_image_valley_event_lost_sheep_3","TID_CHALLENGE003_SHEEPESCAPE_LOSE_STAGE1","prefab/valley_event_sheep_escape.pfb#stage1","sc/ui.sc","sticker_shepherd_thankyou","bg_image_valley_event_lost_sheep_3",86400,"FasterSheepPasture",86400,,,,,,,"Common",,,
,,,,,,,,,,,,,,,,,,2,,,,,,,"TID_CHALLENGE003_SHEEPESCAPE_STAGE2","prefab/valley_event_sheep_escape.pfb#stage2","sc/ui.sc","sticker_shepherd_working",86400,"bg_image_valley_event_lost_sheep_3",,,,,,,,,,,43200,"TID_CHALLENGE003_SHEEPESCAPE_STAGE2_JOB_01","bg_image_valley_construction","Builder","Coins",756,,,57,,,,,,,"TID_CHALLENGE003_SHEEPESCAPE_LOSE_STAGE2","prefab/valley_event_sheep_escape.pfb#stage2","sc/ui.sc","sticker_shepherd_thankyou","bg_image_valley_event_lost_sheep_3",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43200,"TID_CHALLENGE003_SHEEPESCAPE_STAGE2_JOB_02","bg_image_valley_construction","Builder","Coins",756,,,57,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE003_SHEEPESCAPE_STAGE2_JOB_03","bg_image_valley_construction","Builder","Coins",504,,,38,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE003_SHEEPESCAPE_STAGE2_JOB_04","bg_image_village_resource_clay","Claydigger","Coins",504,,,38,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE003_SHEEPESCAPE_STAGE2_JOB_05","bg_image_village_resource_wood","Lumberjack","Coins",252,,,19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE003_SHEEPESCAPE_STAGE2_JOB_06","bg_image_village_resource_wood","Lumberjack","Coins",252,,,19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,,,,,,,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3","prefab/valley_event_sheep_escape.pfb#stage3","sc/ui.sc","sticker_shepherd_working",86400,"bg_image_valley_event_lost_sheep_3",,,,,,,,,,,21600,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3_JOB_01","bg_image_village_library","Researcher","Coins",378,,,28,,,,,,,"TID_CHALLENGE003_SHEEPESCAPE_LOSE_STAGE3","prefab/valley_event_sheep_escape.pfb#stage3","sc/ui.sc","sticker_shepherd_thankyou","bg_image_valley_event_lost_sheep_3",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3_JOB_02","bg_image_valley_background",,"Wool",29,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3_JOB_03","bg_image_valley_background",,"Wool",29,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3_JOB_04","bg_image_valley_background",,"Wool",14,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3_JOB_05","bg_image_valley_background",,"Wool",14,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3_JOB_06","bg_image_valley_background",,"Wool",14,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3_JOB_07","bg_image_valley_background",,"Wool",7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3_JOB_08","bg_image_valley_background",,"Wool",7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3_JOB_09","bg_image_valley_background",,"Wool",7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Challenge004_PlaturtlePancake","TID_CHALLENGE004_PLATURTLEPANCAKE_TITLE","Librarian","ChallengeCart",100,"Academy",,,"ChallengeSiteMountain2",,1209600,2,,,,,,,1,"TID_CHALLENGE004_PLATURTLEPANCAKE_INTRO","prefab/valley_event_platurtle.pfb#stage1","sc/ui.sc","sticker_librarian_wave",86400,"bg_image_valley_event_platurtle_pancake","TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE1","prefab/valley_event_platurtle.pfb#stage1","sc/ui.sc","sticker_librarian_working",86400,"bg_image_valley_event_platurtle_pancake",30,100,100,80,100,100,100,"ConstructionBasic",,,,,,,,,,,,,"TID_CHALLENGE004_PLATURTLEPANCAKE_WIN","prefab/valley_event_platurtle.pfb#stage4","sc/ui.sc","sticker_librarian_celebrate","bg_image_valley_event_platurtle_pancake","TID_CHALLENGE004_PLATURTLEPANCAKE_LOSE_STAGE1","prefab/valley_event_platurtle.pfb#stage1","sc/ui.sc","sticker_librarian_thankyou","bg_image_valley_event_platurtle_pancake",86400,,,500,,,,,,"Common",,,
,,,,,,,,,,,,,,,,,,2,,,,,,,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE2","prefab/valley_event_platurtle.pfb#stage2","sc/ui.sc","sticker_librarian_working",86400,"bg_image_valley_event_platurtle_pancake",,,,,,,,,,,21600,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE2_JOB_01","bg_image_valley_construction","Builder","Coins",378,,,28,,,,,,,"TID_CHALLENGE004_PLATURTLEPANCAKE_LOSE_STAGE2","prefab/valley_event_platurtle.pfb#stage2","sc/ui.sc","sticker_librarian_thankyou","bg_image_valley_event_platurtle_pancake",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10800,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE2_JOB_02","bg_image_valley_construction","Builder","Coins",189,,,14,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10800,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE2_JOB_03","bg_image_valley_construction","Builder","Coins",189,,,14,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE2_JOB_04","bg_image_valley_construction","Builder","Coins",126,,,9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE2_JOB_05","bg_image_valley_construction","Builder","Coins",126,,,9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE2_JOB_06","bg_image_valley_construction","Builder","Coins",63,,,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,,,,,,,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE3","prefab/valley_event_platurtle.pfb#stage3","sc/ui.sc","sticker_librarian_working",86400,"bg_image_valley_event_platurtle_pancake",,,,,,,,,,,10800,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE3_JOB_01","bg_image_valley_background",,"Coins",189,,,14,,,,,,,"TID_CHALLENGE004_PLATURTLEPANCAKE_LOSE_STAGE3","prefab/valley_event_platurtle.pfb#stage3","sc/ui.sc","sticker_librarian_thankyou","bg_image_valley_event_platurtle_pancake",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10800,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE3_JOB_02","bg_image_valley_background",,"Coins",189,,,14,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10800,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE3_JOB_03","bg_image_valley_background",,"Coins",189,,,14,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10800,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE3_JOB_04","bg_image_valley_background",,"Coins",189,,,14,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE3_JOB_05","bg_image_valley_background",,"Coins",63,,,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE3_JOB_06","bg_image_valley_background",,"Coins",63,,,5,,,,,,,,,,,,,,,,,,,,,,,,
"Challenge005_RoadBuilding","TID_CHALLENGE005_ROADBUILDING_TITLE","Builder","ChallengeCart",100,"Challange_Road",,,"ChallengeSiteTailor",,1209600,3,,,,,,,1,"TID_CHALLENGE005_ROADBUILDING_INTRO","prefab/valley_event_road_workin.pfb#stage1","sc/ui.sc","sticker_builder_wave",86400,"bg_image_valley_keep_valley_beautiful_1","TID_CHALLENGE005_ROADBUILDING_STAGE1","prefab/valley_event_road_workin.pfb#stage1","sc/ui.sc","sticker_builder_working",86400,"bg_image_valley_keep_valley_beautiful_1",30,100,100,80,100,100,100,"Clay","Brick","Stone",,,,,,,,,,,"TID_CHALLENGE005_ROADBUILDING_WIN","prefab/valley_event_road_workin.pfb#stage3","sc/ui.sc","sticker_builder_celebrate","bg_image_valley_keep_valley_beautiful_1","TID_CHALLENGE005_ROADBUILDING_LOSE_STAGE1","prefab/valley_event_road_workin.pfb#stage1","sc/ui.sc","sticker_builder_thankyou","bg_image_valley_keep_valley_beautiful_1",86400,,,400,,,,,,"Common",,,
,,,,,,,,,,,,,,,,,,2,,,,,,,"TID_CHALLENGE005_ROADBUILDING_STAGE2","prefab/valley_event_road_workin.pfb#stage2","sc/ui.sc","sticker_builder_working",86400,"bg_image_valley_keep_valley_beautiful_1",,,,,,,,,,,28800,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_01","bg_image_village_library","Researcher","Coins",504,,,38,,,,,,,"TID_CHALLENGE005_ROADBUILDING_LOSE_STAGE2","prefab/valley_event_road_workin.pfb#stage2","sc/ui.sc","sticker_builder_thankyou","bg_image_valley_keep_valley_beautiful_1",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43200,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_02","bg_image_village_resource_clay","Claydigger","Coins",756,,,57,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_03","bg_image_village_resource_stone","Stonemason","Coins",504,,,38,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_04","bg_image_village_resource_stone","Stonemason","Coins",504,,,38,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_05","bg_image_valley_construction","Builder","Coins",252,,,19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_06","bg_image_village_resource_clay","Claydigger","Coins",252,,,19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_07","bg_image_village_resource_clay","Claydigger","Coins",252,,,19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_08","bg_image_village_resource_clay","Claydigger","Coins",252,,,19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_09","bg_image_valley_construction","Builder","Coins",252,,,19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_10","bg_image_village_resource_stone","Stonemason","Coins",252,,,19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_11","bg_image_village_resource_stone","Stonemason","Coins",126,,,9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_12","bg_image_village_resource_stone","Stonemason","Coins",126,,,9,,,,,,,,,,,,,,,,,,,,,,,,
"Challenge006_BrokenCart","TID_CHALLENGE006_BROKENCART_TITLE","Builder","ChallengeCart",100,"Challange_Road",,,"ChallengeSiteTailor",,1209600,3,,,,,"Challenge005_RoadBuilding",1,1,"TID_CHALLENGE006_BROKENCART_INTRO","prefab/valley_event_broken_cart.pfb#stage1","sc/ui.sc","sticker_builder_wave",86400,"bg_image_valley_event_trippy_road_2","TID_CHALLENGE006_BROKENCART_STAGE1","prefab/valley_event_broken_cart.pfb#stage1","sc/ui.sc","sticker_builder_working",86400,"bg_image_valley_event_trippy_road_2",24,100,100,60,100,100,100,"Wood","Plank",,,,,,,,,,,,"TID_CHALLENGE006_BROKENCART_WIN","prefab/valley_event_broken_cart.pfb#stage4","sc/ui.sc","sticker_builder_celebrate","bg_image_valley_event_trippy_road_2","TID_CHALLENGE006_BROKENCART_LOSE_STAGE1","prefab/valley_event_broken_cart.pfb#stage1","sc/ui.sc","sticker_builder_thankyou","bg_image_valley_event_trippy_road_2",86400,,,300,,,,,,"Common",,,
,,,,,,,,,,,,,,,,,,2,,,,,,,"TID_CHALLENGE006_BROKENCART_STAGE2","prefab/valley_event_broken_cart.pfb#stage2","sc/ui.sc","sticker_builder_working",86400,"bg_image_valley_event_trippy_road_2",,,,,,,,,,,43200,"TID_CHALLENGE006_BROKENCART_STAGE2_JOB_01","bg_image_valley_construction","Builder","Coins",756,,,57,,,,,,,"TID_CHALLENGE006_BROKENCART_LOSE_STAGE2","prefab/valley_event_broken_cart.pfb#stage2","sc/ui.sc","sticker_builder_thankyou","bg_image_valley_event_trippy_road_2",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43200,"TID_CHALLENGE006_BROKENCART_STAGE2_JOB_02","bg_image_valley_construction","Builder","Coins",756,,,57,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE006_BROKENCART_STAGE2_JOB_03","bg_image_valley_construction","Builder","Coins",504,,,38,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE006_BROKENCART_STAGE2_JOB_04","bg_image_village_resource_clay","Claydigger","Coins",504,,,38,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE006_BROKENCART_STAGE2_JOB_05","bg_image_village_resource_wood","Lumberjack","Coins",252,,,19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE006_BROKENCART_STAGE2_JOB_06","bg_image_village_resource_wood","Lumberjack","Coins",252,,,19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,,,,,,,"TID_CHALLENGE006_BROKENCART_STAGE3","prefab/valley_event_broken_cart.pfb#stage3","sc/ui.sc","sticker_builder_working",86400,"bg_image_valley_event_trippy_road_2",24,100,100,60,100,100,100,"CraftedAny",,,,,,,,,,,,,,,,,,"TID_CHALLENGE006_BROKENCART_LOSE_STAGE3","prefab/valley_event_broken_cart.pfb#stage3","sc/ui.sc","sticker_builder_thankyou","bg_image_valley_event_trippy_road_2",,,,,,,,,,,,,
