"ResourceCount","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60"
250,30,30,30,30,30,30,20,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,40,30,30,30,30,30,20,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,40,40,30,30,30,30,20,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,40,40,30,30,30,30,20,20,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,40,40,40,30,30,30,20,20,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,40,40,40,40,30,30,20,20,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,40,40,40,40,30,30,20,20,20,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,40,40,40,40,40,30,20,20,20,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,40,40,40,40,40,40,20,20,20,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,40,40,40,40,40,40,20,20,20,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,40,40,40,40,40,30,20,20,20,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,40,40,40,40,40,40,20,20,20,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,40,40,40,40,40,40,20,20,20,20,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,50,40,40,40,40,40,20,20,20,20,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,50,50,40,40,40,40,20,20,20,20,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,50,50,40,40,40,40,20,20,20,20,20,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,50,50,50,40,40,40,20,20,20,20,20,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,50,50,50,40,40,40,30,20,20,20,20,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,50,50,50,40,40,40,30,20,20,20,20,20,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,50,50,50,50,40,40,30,20,20,20,20,20,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,50,50,50,40,40,40,30,20,20,20,20,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,50,50,50,40,40,40,30,20,20,20,20,20,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,50,50,50,50,40,40,30,20,20,20,20,20,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,50,50,50,50,50,40,30,20,20,20,20,20,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,50,50,50,50,50,40,30,20,20,20,20,20,20,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,50,50,50,50,50,50,30,20,20,20,20,20,20,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,50,50,50,50,50,50,30,30,20,20,20,20,20,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,50,50,50,50,50,50,30,30,20,20,20,20,20,20,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,60,50,50,50,50,50,30,30,20,20,20,20,20,20,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,60,60,50,50,50,50,30,30,20,20,20,20,20,20,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,60,60,50,50,50,50,30,30,20,20,20,20,20,20,20,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,60,60,60,50,50,50,30,30,20,20,20,20,20,20,20,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,60,60,60,50,50,50,30,30,30,20,20,20,20,20,20,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,60,60,60,50,50,50,30,30,30,20,20,20,20,20,20,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,60,60,60,60,50,50,30,30,30,20,20,20,20,20,20,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,60,60,60,60,60,50,30,30,30,20,20,20,20,20,20,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,60,60,60,60,60,50,30,30,30,20,20,20,20,20,20,20,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,60,60,60,60,50,50,30,30,30,20,20,20,20,20,20,20,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,60,60,60,60,60,50,30,30,30,20,20,20,20,20,20,20,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,60,60,60,60,60,50,30,30,30,20,20,20,20,20,20,20,20,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,60,60,60,60,60,60,30,30,30,20,20,20,20,20,20,20,20,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,60,60,60,60,60,60,30,30,30,30,20,20,20,20,20,20,20,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,60,60,60,60,60,60,30,30,30,30,20,20,20,20,20,20,20,20,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,60,60,60,60,60,60,40,30,30,30,20,20,20,20,20,20,20,20,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,70,60,60,60,60,60,40,30,30,30,20,20,20,20,20,20,20,20,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,70,60,60,60,60,60,40,30,30,30,20,20,20,20,20,20,20,20,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,70,70,60,60,60,60,40,30,30,30,20,20,20,20,20,20,20,20,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,70,70,60,60,60,60,40,30,30,30,30,20,20,20,20,20,20,20,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,70,70,60,60,60,60,40,30,30,30,30,20,20,20,20,20,20,20,20,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,70,70,70,60,60,60,40,30,30,30,30,20,20,20,20,20,20,20,20,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,70,70,70,70,60,60,40,30,30,30,30,20,20,20,20,20,20,20,20,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,70,70,70,70,60,60,40,30,30,30,30,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,70,70,70,70,60,60,40,40,30,30,30,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,70,70,70,70,60,60,40,40,30,30,30,30,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,70,70,70,70,70,60,40,40,30,30,30,30,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,70,70,70,70,70,70,40,40,30,30,30,30,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,80,70,70,70,70,70,40,40,30,30,30,30,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,80,70,70,70,70,70,40,40,30,30,30,30,30,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,80,80,70,70,70,70,40,40,30,30,30,30,30,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,80,80,70,70,70,70,40,40,40,30,30,30,30,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,80,80,80,70,70,70,40,40,40,30,30,30,30,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,80,80,80,70,70,70,40,40,40,30,30,30,30,30,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,80,80,80,70,70,70,50,40,40,30,30,30,30,30,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,80,80,80,80,70,70,50,40,40,30,30,30,30,30,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,80,80,80,80,80,70,50,40,40,30,30,30,30,30,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,80,80,80,80,80,70,50,40,40,30,30,30,30,30,30,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,80,80,80,80,80,70,50,40,40,40,30,30,30,30,30,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,80,80,80,80,80,80,50,40,40,40,30,30,30,30,30,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,90,80,80,80,80,80,50,40,40,40,30,30,30,30,30,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,90,80,80,80,80,80,50,40,40,40,30,30,30,30,30,30,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,90,90,80,80,80,80,50,40,40,40,30,30,30,30,30,30,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,90,90,80,80,80,80,50,50,40,40,30,30,30,30,30,30,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,90,90,80,80,80,80,50,50,40,40,40,30,30,30,30,30,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,90,90,80,80,80,80,50,50,40,40,40,30,30,30,30,30,30,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,90,90,90,80,80,80,50,50,40,40,40,30,30,30,30,30,30,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,90,80,80,80,80,80,50,40,40,40,30,30,30,30,30,30,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,90,90,80,80,80,80,50,40,40,40,30,30,30,30,30,30,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,90,90,80,80,80,80,50,50,40,40,30,30,30,30,30,30,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,90,90,80,80,80,80,50,50,40,40,40,30,30,30,30,30,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,90,90,80,80,80,80,50,50,40,40,40,30,30,30,30,30,30,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,90,90,90,80,80,80,50,50,40,40,40,30,30,30,30,30,30,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,90,90,90,90,80,80,50,50,40,40,40,30,30,30,30,30,30,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,90,90,90,90,90,80,50,50,40,40,40,30,30,30,30,30,30,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,90,90,90,90,90,80,50,50,40,40,40,30,30,30,30,30,30,30,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,90,90,90,90,90,90,50,50,40,40,40,30,30,30,30,30,30,30,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,90,90,90,90,90,90,50,50,40,40,40,40,30,30,30,30,30,30,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,90,90,90,90,90,90,60,50,40,40,40,40,30,30,30,30,30,30,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,90,90,90,90,90,90,60,50,40,40,40,40,30,30,30,30,30,30,30,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,90,90,90,90,90,90,60,50,50,40,40,40,30,30,30,30,30,30,30,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,100,90,90,90,90,90,60,50,50,40,40,40,30,30,30,30,30,30,30,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,100,100,90,90,90,90,60,50,50,40,40,40,30,30,30,30,30,30,30,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,100,100,90,90,90,90,60,50,50,40,40,40,30,30,30,30,30,30,30,30,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,100,100,90,90,90,90,60,50,50,40,40,40,40,30,30,30,30,30,30,30,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,100,100,100,90,90,90,60,50,50,40,40,40,40,30,30,30,30,30,30,30,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,100,100,100,100,90,90,60,50,50,40,40,40,40,30,30,30,30,30,30,30,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,100,100,100,100,90,90,60,50,50,40,40,40,40,30,30,30,30,30,30,30,30,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,100,100,100,100,100,90,60,50,50,40,40,40,40,30,30,30,30,30,30,30,30,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,100,100,100,100,100,90,60,50,50,50,40,40,40,30,30,30,30,30,30,30,30,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,100,100,100,100,100,90,60,50,50,50,40,40,40,40,30,30,30,30,30,30,30,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,100,100,100,100,100,90,60,50,50,50,40,40,40,40,30,30,30,30,30,30,30,30,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,100,100,100,100,100,100,60,50,50,50,40,40,40,40,30,30,30,30,30,30,30,30,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,100,100,100,100,100,100,60,60,50,50,40,40,40,40,30,30,30,30,30,30,30,30,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,100,100,100,100,100,90,60,50,50,40,40,40,40,30,30,30,30,30,30,30,30,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,100,100,100,100,100,90,60,50,50,50,40,40,40,30,30,30,30,30,30,30,30,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,100,100,100,100,100,90,60,50,50,50,40,40,40,40,30,30,30,30,30,30,30,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,100,100,100,100,100,90,60,50,50,50,40,40,40,40,30,30,30,30,30,30,30,30,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,100,100,100,100,100,100,60,50,50,50,40,40,40,40,30,30,30,30,30,30,30,30,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320,100,100,100,100,100,100,60,60,50,50,40,40,40,40,30,30,30,30,30,30,30,30,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330,110,100,100,100,100,100,60,60,50,50,40,40,40,40,30,30,30,30,30,30,30,30,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,110,100,100,100,100,100,60,60,50,50,40,40,40,40,30,30,30,30,30,30,30,30,30,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,110,110,100,100,100,100,60,60,50,50,40,40,40,40,30,30,30,30,30,30,30,30,30,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360,110,110,100,100,100,100,60,60,50,50,40,40,40,40,40,30,30,30,30,30,30,30,30,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,110,110,110,100,100,100,60,60,50,50,40,40,40,40,40,30,30,30,30,30,30,30,30,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380,110,110,110,100,100,100,60,60,50,50,40,40,40,40,40,30,30,30,30,30,30,30,30,30,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1390,110,110,110,100,100,100,60,60,50,50,50,40,40,40,40,30,30,30,30,30,30,30,30,30,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,110,110,110,100,100,100,70,60,50,50,50,40,40,40,40,30,30,30,30,30,30,30,30,30,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,110,110,110,110,100,100,70,60,50,50,50,40,40,40,40,30,30,30,30,30,30,30,30,30,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420,110,110,110,110,100,100,70,60,50,50,50,40,40,40,40,30,30,30,30,30,30,30,30,30,30,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430,110,110,110,110,100,100,70,60,50,50,50,40,40,40,40,40,30,30,30,30,30,30,30,30,30,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,110,110,110,110,110,100,70,60,50,50,50,40,40,40,40,40,30,30,30,30,30,30,30,30,30,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,110,110,110,110,110,100,70,60,60,50,50,40,40,40,40,40,30,30,30,30,30,30,30,30,30,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,110,110,110,110,110,100,70,60,60,50,50,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,110,110,110,110,110,110,70,60,60,50,50,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,110,110,110,110,110,110,70,60,60,50,50,50,40,40,40,40,30,30,30,30,30,30,30,30,30,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,110,110,110,110,110,110,70,60,60,50,50,50,40,40,40,40,40,30,30,30,30,30,30,30,30,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,110,110,110,110,110,110,70,60,60,50,50,50,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,120,110,110,110,110,110,70,60,60,50,50,50,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,120,120,110,110,110,110,70,60,60,50,50,50,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,120,120,120,110,110,110,70,60,60,50,50,50,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,120,120,120,120,110,110,70,60,60,50,50,50,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,120,120,120,120,110,110,70,60,60,50,50,50,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,120,120,120,120,110,110,70,70,60,50,50,50,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,120,120,120,120,110,110,70,70,60,50,50,50,50,40,40,40,40,40,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,120,120,120,120,110,110,70,70,60,60,50,50,50,40,40,40,40,40,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,120,120,120,120,120,110,70,70,60,60,50,50,50,40,40,40,40,40,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,120,120,120,120,120,110,70,70,60,60,50,50,50,40,40,40,40,40,40,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,120,120,120,120,120,120,70,70,60,60,50,50,50,40,40,40,40,40,40,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,120,120,120,120,120,120,80,70,60,60,50,50,50,40,40,40,40,40,40,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,130,120,120,120,120,120,80,70,60,60,50,50,50,40,40,40,40,40,40,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,130,120,120,120,120,120,80,70,60,60,50,50,50,50,40,40,40,40,40,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,130,120,120,120,120,120,80,70,60,60,50,50,50,50,40,40,40,40,40,40,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,130,130,120,120,120,120,80,70,60,60,50,50,50,50,40,40,40,40,40,40,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,130,130,130,120,120,120,80,70,60,60,50,50,50,50,40,40,40,40,40,40,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,130,130,130,120,120,120,80,70,60,60,60,50,50,50,40,40,40,40,40,40,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,130,130,130,130,120,120,80,70,60,60,60,50,50,50,40,40,40,40,40,40,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,130,130,130,130,120,120,80,70,60,60,60,50,50,50,40,40,40,40,40,40,40,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,130,130,130,130,120,120,80,70,70,60,60,50,50,50,40,40,40,40,40,40,40,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
